ccid,r-time,r-time-decode,r-sts,r-val,r-spcl-val,gps-act,header,sim-operator,buffer,log-byte,driver_license_full,car_v,gsm_csq,gps-hdop,sattel,gps_speed,acc-on,ovr-spd,SOS-on,m-batt-low,m-batt-zro,turn-right,turn-left,crash-off,HA-off,HD-off,HC-off,gps-dist,lat,long,heading,imei,dvice-s/n,fw_ver,fuel-typ,fuel-lv,temper01,temper02
8966052503402407997F,22/12/2025 14:07,07:52.2,32,31,78920,V,7E,D,67,,,28300,27,85,0,0,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.602068,104.725725,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
8966052503402407997F,22/12/2025 14:05,05:37.8,32,31,78800,V,7E,D,67,,,28200,28,97,0,0,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.602093,104.725703,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
8966052503402407997F,22/12/2025 14:05,05:39.6,31,81745,98271,A,7E,D,67,,,28200,28,97,11,2,1,0,0,0,0,0,0,1,1,1,1,14913.2,16.602073,104.725711,132,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
8966052503402407997F,22/12/2025 14:05,05:35.7,31,81744,98268,V,7E,D,67,,,28200,23,121,0,0,1,0,0,0,0,0,0,1,1,1,1,14913.1,16.60235,104.725671,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
8966052503402407997F,22/12/2025 14:05,05:13.6,32,31,78798,A,7E,D,67,,,28200,23,131,9,0,1,0,0,0,0,0,0,1,1,1,1,14913,16.602546,104.725685,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1092,0,0
8966052503402407997F,22/12/2025 14:05,05:12.9,31,81724,98247,A,7E,D,67,,,28200,23,121,10,2,1,0,0,0,0,0,0,1,1,1,1,14913,16.602546,104.725685,191,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1092,0,0
8966052503402407997F,22/12/2025 14:03,03:52.9,32,31,78797,A,7E,D,67,,,28200,24,20,9,0,1,0,0,0,0,0,0,1,1,1,1,14912.9,16.602816,104.727566,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1092,0,0
8966052503402407997F,22/12/2025 14:02,02:01.0,34,0,78696,A,7E,D,67,,,25600,26,6,11,0,0,0,0,0,0,0,0,1,1,1,1,14912.9,16.602816,104.727566,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
8966052503402407997F,22/12/2025 13:40,40:53.6,31,81651,98073,V,7E,D,67,,,26700,24,1385,0,0,0,0,0,0,0,0,0,1,1,1,1,14912.9,16.60297,104.72768,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
8966052503402407997F,22/12/2025 13:38,38:42.7,33,50,98073,V,7E,D,67,,,27700,25,1385,0,0,1,0,0,0,0,0,0,1,1,1,1,14912.9,16.60297,104.72768,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
8966052503402407997F,22/12/2025 13:38,38:42.5,32,31,77426,V,7E,D,67,,,27700,25,1385,0,0,1,0,0,0,0,0,0,1,1,1,1,14912.9,16.60297,104.72768,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
8966052503402407997F,22/12/2025 13:35,35:49.7,32,31,77426,A,7E,D,67,,,28200,23,86,8,0,1,0,0,0,0,0,0,1,1,1,1,14912.5,16.60183,104.723898,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1085,0,0
8966052503402407997F,22/12/2025 13:33,33:19.4,34,0,77290,A,7E,D,67,,,25200,31,307,9,0,0,0,0,0,0,0,0,1,1,1,1,14912.5,16.60183,104.723898,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1080,0,0
8966052503402407997F,22/12/2025 11:27,27:23.0,33,50,97780,A,7E,D,67,,,26600,31,0,9,0,1,0,0,0,0,0,0,1,1,1,1,14912.5,16.60183,104.723898,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1092,0,0
8966052503402407997F,22/12/2025 11:27,27:23.0,32,31,70429,A,7E,D,67,,,26600,31,0,9,0,1,0,0,0,0,0,0,1,1,1,1,14912.5,16.60183,104.723898,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1092,0,0
8966052503402407997F,22/12/2025 11:27,27:03.4,34,0,70411,A,7E,D,67,,,26700,31,0,9,0,0,0,0,0,0,0,0,1,1,1,1,14912.5,16.60183,104.723898,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1093,0,0
8966052503402407997F,22/12/2025 11:25,25:42.2,33,50,97762,A,7E,D,67,,,27400,31,0,11,0,1,0,0,0,0,0,0,1,1,1,1,14912.5,16.60183,104.723898,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1089,0,0
8966052503402407997F,22/12/2025 11:25,25:42.2,32,31,70337,A,7E,D,67,,,27400,31,0,11,0,1,0,0,0,0,0,0,1,1,1,1,14912.5,16.60183,104.723898,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1089,0,0
8966052503402407997F,22/12/2025 11:24,24:56.7,31,81375,97721,A,7E,D,67,,,28400,24,0,10,7,1,0,0,0,0,0,0,1,1,1,1,14912.3,16.60183,104.723898,95,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1087,0,0
8966052503402407997F,22/12/2025 11:24,24:39.6,32,31,70296,A,7E,D,67,,,28300,24,0,10,0,1,0,0,0,0,0,0,1,1,1,1,14912.3,16.601861,104.723011,92,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1086,0,0
8966052503402407997F,22/12/2025 11:24,24:38.4,31,81359,97704,A,7E,D,67,,,28300,24,0,10,20,1,0,0,0,0,0,0,1,1,1,1,14912.3,16.601861,104.723011,92,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1086,0,0
8966052503402407997F,22/12/2025 11:24,24:23.3,32,31,70295,A,7E,D,67,,,28300,23,16,8,0,1,0,0,0,0,0,0,1,1,1,1,14912.3,16.601888,104.72235,93,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1086,0,0
8966052503402407997F,22/12/2025 11:24,24:22.7,31,81346,97690,A,7E,D,67,,,28300,23,22,9,9,1,0,0,0,0,0,0,1,1,1,1,14912.3,16.601888,104.72235,94,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1086,0,0
8966052503402407997F,22/12/2025 11:24,24:16.5,32,31,70294,A,7E,D,67,,,28300,23,0,10,0,1,0,0,0,0,0,0,1,1,1,1,14912.3,16.601895,104.722186,92,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1087,0,0
8966052503402407997F,22/12/2025 11:24,24:15.8,31,81340,97684,A,7E,D,67,,,28400,23,1,8,7,1,0,0,0,0,0,0,1,1,1,1,14912.3,16.601895,104.722186,103,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1087,0,0
8966052503402407997F,22/12/2025 11:24,24:14.6,32,31,70294,A,7E,D,67,,,28300,23,19,8,0,1,0,0,0,0,0,0,1,1,1,1,14912.3,16.601933,104.722133,121,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1087,0,0
8966052503402407997F,22/12/2025 11:22,22:59.0,34,0,70225,A,7E,D,67,,,26800,22,261,9,0,0,0,0,0,0,0,0,1,1,1,1,14912.3,16.601933,104.722133,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1084,0,0
8966052503402407997F,22/12/2025 11:21,21:59.1,33,50,97614,A,7E,D,67,,,27400,23,262,9,0,1,0,0,0,0,0,0,1,1,1,1,14912.3,16.601933,104.722133,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1081,0,0
8966052503402407997F,22/12/2025 11:21,21:59.0,32,31,70171,A,7E,D,67,,,27400,23,262,9,0,1,0,0,0,0,0,0,1,1,1,1,14912.3,16.601933,104.722133,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1081,0,0
8966052503402407997F,22/12/2025 11:19,19:02.6,31,81339,97453,A,7E,D,67,,,28200,30,263,9,4,1,0,0,0,0,0,0,1,1,1,1,14912.3,16.601933,104.722133,87,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1073,0,0
8966052503402407997F,22/12/2025 11:08,08:32.8,32,31,70010,A,7E,D,67,,,28300,27,16,9,0,1,0,0,0,0,0,0,1,1,1,1,14903.2,16.54267,104.687606,281,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1049,0,0
8966052503402407997F,22/12/2025 11:07,07:50.0,31,80768,96842,A,7E,D,67,,,28200,22,72,9,6,1,0,0,0,0,0,0,1,1,1,1,14903.2,16.54267,104.687606,6,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1047,0,0
8966052503402407997F,22/12/2025 11:05,05:20.6,32,31,69970,A,7E,D,67,,,28200,27,0,10,0,1,0,0,0,0,0,0,1,1,1,1,14901,16.52496,104.687616,55,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1044,0,0
8966052503402407997F,22/12/2025 11:05,05:18.4,31,80633,96706,A,7E,D,67,,,28300,27,0,10,13,1,0,0,0,0,0,0,1,1,1,1,14901,16.52496,104.687616,51,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1044,0,0
8966052503402407997F,22/12/2025 11:05,05:11.4,32,31,69969,A,7E,D,67,,,28200,27,0,10,0,1,0,0,0,0,0,0,1,1,1,1,14901,16.524726,104.687281,46,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1044,0,0
8966052503402407997F,22/12/2025 11:05,05:06.5,31,80626,96695,A,7E,D,67,,,28200,27,0,10,9,1,0,0,0,0,0,0,1,1,1,1,14901,16.524726,104.687281,77,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1044,0,0
8966052503402407997F,22/12/2025 11:05,05:01.4,32,31,69965,A,7E,D,67,,,28300,27,0,10,0,1,0,0,0,0,0,0,1,1,1,1,14901,16.52464,104.687123,54,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1043,0,0
8966052503402407997F,22/12/2025 11:04,04:59.5,31,80621,96688,A,7E,D,67,,,28200,25,0,11,13,1,0,0,0,0,0,0,1,1,1,1,14901,16.52464,104.687123,45,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1043,0,0
8966052503402407997F,22/12/2025 10:38,38:30.4,32,31,69963,A,7E,D,67,,,28300,27,113,8,0,1,0,0,0,0,0,0,1,1,1,1,14875.1,16.35296,104.524636,24,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1039,0,0
8966052503402407997F,22/12/2025 10:38,38:30.1,31,79179,95245,A,7E,D,67,,,28300,27,113,8,37,1,0,0,0,0,0,0,1,1,1,1,14874.2,16.35296,104.524636,23,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1039,0,0
8966052503402407997F,22/12/2025 10:19,19:20.4,32,31,69960,A,7E,D,66,,,28200,30,0,9,0,1,0,0,0,0,0,0,1,1,1,1,14858,16.202413,104.508558,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1038,0,0
8966052503402407997F,22/12/2025 10:17,17:34.6,32,31,69924,A,7E,D,65,,,28200,29,21,10,0,1,0,0,0,0,0,0,1,1,1,1,14857.4,16.196513,104.510145,3,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1039,0,0
8966052503402407997F,22/12/2025 10:17,17:20.9,31,78077,94093,A,7E,D,65,,,28200,28,21,10,2,1,0,0,0,0,0,0,1,1,1,1,14857.4,16.196513,104.510145,25,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1038,0,0
8966052503402407997F,22/12/2025 10:00,01:00.5,32,31,69912,A,7E,D,65,,,28400,31,0,9,0,1,0,0,0,0,0,0,1,1,1,1,14841.2,16.087303,104.410323,42,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1008,0,0
8966052503402407997F,22/12/2025 9:59,59:44.4,31,77188,93135,A,7E,D,65,,,28300,31,20,10,2,1,0,0,0,0,0,0,1,1,1,1,14840.6,16.087303,104.410323,53,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,1007,0,0
8966052503402407997F,22/12/2025 9:43,43:42.3,32,31,69843,A,7E,D,65,,,28300,31,9,10,0,1,0,0,0,0,0,0,1,1,1,1,14827.6,16.018903,104.315586,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,998,0,0
8966052503402407997F,22/12/2025 9:42,42:01.4,31,76314,92171,A,7E,D,65,,,28300,31,2,6,6,1,0,0,0,0,0,0,1,1,1,1,14827.6,16.018903,104.315586,117,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,999,0,0
8966052503402407997F,22/12/2025 8:52,52:01.4,31,73685,89448,A,7E,D,3,,,28200,31,0,6,2,1,0,0,0,0,0,0,1,1,1,1,14787.3,15.730525,104.031741,177,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,945,0,0
8966052503402407997F,22/12/2025 8:51,52:00.7,32,31,69659,A,7E,D,3,,,28200,31,0,6,0,1,0,0,0,0,0,0,1,1,1,1,14787.3,15.73052,104.031736,211,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,945,0,0
8966052503402407997F,22/12/2025 8:51,51:59.9,31,73684,89446,A,7E,D,3,,,28200,31,0,6,2,1,0,0,0,0,0,0,1,1,1,1,14787.3,15.73052,104.031736,13,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,945,0,0
8966052503402407997F,22/12/2025 8:22,22:24.1,32,31,69658,A,7E,D,3,,,28300,31,0,8,0,1,0,0,0,0,0,0,1,1,1,1,14758.3,15.608173,103.801233,103,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,944,0,0
8966052503402407997F,22/12/2025 8:22,22:06.0,32,31,69657,A,7E,D,3,,,28300,31,103,9,0,1,0,0,0,0,0,0,1,1,1,1,14758.3,15.608358,103.800475,101,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,945,0,0
8966052503402407997F,22/12/2025 8:21,21:08.4,31,72057,87766,A,7E,D,3,,,28300,31,0,9,2,1,0,0,0,0,0,0,1,1,1,1,14758.3,15.608358,103.800475,102,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,945,0,0
8966052503402407997F,22/12/2025 8:14,14:27.4,32,31,69605,A,7E,D,3,,,28200,26,18,9,0,1,0,0,0,0,0,0,1,1,1,1,14755.8,15.657801,103.771625,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,944,0,0
8966052503402407997F,22/12/2025 8:13,13:24.6,31,71693,87345,A,7E,D,3,,,28300,30,304,9,2,1,0,0,0,0,0,0,1,1,1,1,14755.7,15.657801,103.771625,95,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,945,0,0
8966052503402407997F,22/12/2025 8:05,05:54.8,32,31,69548,A,7E,D,3,,,28200,31,99,9,0,1,0,0,0,0,0,0,1,1,1,1,14749.1,15.639713,103.712455,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,938,0,0
8966052503402407997F,22/12/2025 8:03,03:12.7,31,71285,86790,A,7E,D,3,,,28200,31,6,8,2,1,0,0,0,0,0,0,1,1,1,1,14749.1,15.639713,103.712455,286,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,931,0,0
8966052503402407997F,22/12/2025 8:03,03:11.5,32,31,69401,A,7E,D,3,,,28200,31,6,8,0,1,0,0,0,0,0,0,1,1,1,1,14749.1,15.639673,103.712936,282,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,931,0,0
8966052503402407997F,22/12/2025 8:02,02:36.9,31,71284,86757,A,7E,D,3,,,28200,31,6,8,6,1,0,0,0,0,0,0,1,1,1,1,14748.5,15.639673,103.712936,100,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,929,0,0
8966052503402407997F,22/12/2025 7:52,52:44.7,32,31,69369,V,7E,D,3,,,28300,25,613,0,0,1,0,0,0,0,0,0,1,1,1,1,14739.4,15.654501,103.599121,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,901,0,0
8966052503402407997F,22/12/2025 7:50,50:03.7,31,70747,86074,A,7E,D,3,,,28300,28,612,5,4,1,0,0,0,0,0,0,1,1,1,1,14739.4,15.654501,103.599121,294,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,898,0,0
8966052503402407997F,22/12/2025 7:49,49:57.5,31,70745,86068,A,7E,D,3,,,28400,28,610,5,4,1,0,0,0,0,0,0,1,1,1,1,14739.4,15.6545,103.59899,90,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,898,0,0
8966052503402407997F,22/12/2025 7:25,25:05.0,32,31,69219,A,7E,D,3,,,28200,23,2,7,0,1,0,0,0,0,0,0,1,1,1,1,14717.3,15.550998,103.404918,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,890,0,0
8966052503402407997F,22/12/2025 7:00,00:26.9,31,68160,83372,A,7E,D,3,,,28300,21,406,8,61,1,0,0,0,0,0,0,1,1,1,1,14695.5,15.510298,103.212053,85,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,875,0,0
8966052503402407997F,22/12/2025 6:58,58:43.0,32,31,69108,A,7E,D,3,,,28300,31,338,10,0,1,0,0,0,0,0,0,1,1,1,1,14694.2,15.509248,103.198816,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,870,0,0
8966052503402407997F,22/12/2025 6:57,58:00.5,31,68066,83239,A,7E,D,3,,,28300,31,339,10,2,1,0,0,0,0,0,0,1,1,1,1,14693.7,15.509248,103.198816,82,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,868,0,0
8966052503402407997F,22/12/2025 6:57,58:00.1,32,31,69069,A,7E,D,3,,,28300,31,339,10,0,1,0,0,0,0,0,0,1,1,1,1,14693.7,15.50924,103.19876,80,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,868,0,0
8966052503402407997F,22/12/2025 6:57,57:57.9,31,68066,83237,A,7E,D,3,,,28400,31,339,10,11,1,0,0,0,0,0,0,1,1,1,1,14693.7,15.50924,103.19876,82,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,868,0,0
8966052503402407997F,22/12/2025 6:32,32:57.6,31,66728,81876,A,7E,D,3,,,28300,31,297,8,9,1,0,0,0,0,0,0,1,1,1,1,14670,15.558848,102.981256,71,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,824,0,0
8966052503402407997F,22/12/2025 6:32,32:55.8,32,31,69044,A,7E,D,3,,,28400,31,297,8,0,1,0,0,0,0,0,0,1,1,1,1,14670,15.558808,102.981138,68,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,824,0,0
8966052503402407997F,22/12/2025 6:32,32:53.6,31,66726,81872,A,7E,D,3,,,28300,31,297,8,13,1,0,0,0,0,0,0,1,1,1,1,14670,15.558808,102.981138,75,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,824,0,0
8966052503402407997F,22/12/2025 6:32,32:52.8,32,31,69042,A,7E,D,3,,,28300,31,1,7,0,1,0,0,0,0,0,0,1,1,1,1,14670,15.558795,102.981055,77,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,824,0,0
8966052503402407997F,22/12/2025 6:32,32:51.5,31,66725,81870,A,7E,D,3,,,28300,31,1,7,15,1,0,0,0,0,0,0,1,1,1,1,14670,15.558795,102.981055,81,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,824,0,0
8966052503402407997F,22/12/2025 6:32,32:48.8,32,31,69041,A,7E,D,3,,,28400,31,1,7,0,1,0,0,0,0,0,0,1,1,1,1,14670,15.558775,102.980863,82,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,824,0,0
8966052503402407997F,22/12/2025 6:32,32:46.5,31,66722,81866,A,7E,D,3,,,28200,31,1,7,9,1,0,0,0,0,0,0,1,1,1,1,14670,15.558775,102.980863,71,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,824,0,0
8966052503402407997F,22/12/2025 6:30,30:15.8,32,31,69040,A,7E,D,3,,,28300,30,304,9,0,1,0,0,0,0,0,0,1,1,1,1,14668.8,15.555275,102.964168,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,823,0,0
8966052503402407997F,22/12/2025 6:29,29:46.1,34,0,69013,A,7E,D,3,,,25800,31,306,9,0,0,0,0,0,0,0,0,1,1,1,1,14668.8,15.555275,102.964168,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,823,0,0
8966052503402407997F,22/12/2025 6:27,27:47.1,33,50,81702,A,7E,D,3,,,27200,31,311,9,0,1,0,0,0,0,0,0,1,1,1,1,14668.8,15.555275,102.964168,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,822,0,0
8966052503402407997F,22/12/2025 6:27,27:47.1,32,31,68905,A,7E,D,3,,,27200,31,311,9,0,1,0,0,0,0,0,0,1,1,1,1,14668.8,15.555275,102.964168,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,822,0,0
8966052503402407997F,22/12/2025 6:20,20:59.2,50,31,68534,A,7E,D,3,,,28300,26,329,8,0,1,0,0,0,0,0,0,1,1,1,1,14668.8,15.555275,102.964168,0,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,823,0,0
8966052503402407997F,22/12/2025 6:19,20:00.6,31,66585,81278,A,7E,D,3,,,28200,25,32,7,7,1,0,0,0,0,0,0,1,1,1,1,14668.7,15.555275,102.964168,84,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,822,0,0
8966052503402407997F,22/12/2025 6:19,19:58.9,30,65739,81277,A,7E,D,3,,,28200,25,32,7,9,1,0,0,0,0,0,0,1,1,1,1,14668.7,15.555271,102.964141,81,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,822,0,0
8966052503402407997F,22/12/2025 6:19,19:53.9,30,65739,81272,A,7E,D,3,,,28300,25,20,8,11,1,0,0,0,0,0,0,1,1,1,1,14668.1,15.55523,102.964008,60,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,822,0,0
8966052503402407997F,22/12/2025 6:19,19:48.7,30,65739,81267,A,7E,D,3,,,28200,31,32,7,17,1,0,0,0,0,0,0,1,1,1,1,14668.1,15.55516,102.963871,104,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,823,0,0
8966052503402407997F,22/12/2025 6:19,19:41.7,30,65739,81261,A,7E,D,3,,,28200,31,32,7,13,1,0,0,0,0,0,0,1,1,1,1,14668.1,15.555063,102.963666,24,8.68291E+14,55000145735,BSJ-EZ-FW:1.0,1,823,0,0
